Адрес обращения,Дом,Дата,текст обращения,text_clean,categories,full_address,latitude,longitude
улица Эльгера,16,2021-06-17 12:29:58.931,"Ремонт подъезда №4
Привести в порядок Школьный бульвар",['бульвар'],{'место тихого отдыха': 1},16 улица Эльгера,56.14385998628282,47.1806500326752
улица Университетская,28,2021-06-08 21:49:03.709,Организовать места для велосипедных прогулок. ,['прогулка'],{'место тихого отдыха': 1},28 улица Университетская,56.13968001498827,47.162909986061464
улица Мичмана Павлова,24,2021-06-09 10:17:26.263,"Школьный бульвар требует срочного ремонта. Зимой невозможно ходить, надо додумать безопасность",['бульвар'],{'место тихого отдыха': 1},24 улица Мичмана Павлова,56.14117999847102,47.18371001406746
улица Мичмана Павлова,24,2021-06-09 08:31:54.628,"На школьном бульваре очень много мусора, помогите убрать",['бульвар'],{'место тихого отдыха': 1},24 улица Мичмана Павлова,56.14117999847102,47.18371001406746
улица Эльгера,13,2021-06-04 15:25:23.674,"Здравствуйте, Андрей Юрьевич ! Хотелось бы чтобы наш город, был доступным для прогулок с людьми с ограниченными возможностями. А для себя хотелось бы вас попросить помочь собрать денежные средства на лечение в медицинском центре моему сыну ( 10 лет) с диагнозом ДЦП. Спасибо. ",['прогулка'],{'место тихого отдыха': 1},13 улица Эльгера,56.14547999861907,47.17764000742585
улица Университетская,38 корп. 4,2021-06-14 17:57:11.086,"Хотелось, чтобы быстрее построилась школа в кмр Университет не строили общежитие ЧГУ построить бульвар по ул. Миначева ",['бульвар'],{'место тихого отдыха': 1},38 корп. 4 улица Университетская,56.14738000843087,47.16851999385679
улица Мичмана Павлова,30,2021-06-09 10:40:08.067,Сделать бы побольше паковочных мест. Поддерживаем реконструкцию Школьного бульвара,['бульвар'],{'место тихого отдыха': 1},30 улица Мичмана Павлова,56.14091999183452,47.18027997165001
улица Мичмана Павлова,30,2021-06-09 11:12:47.230,Срочный ремонт Школьного бульвара,['бульвар'],{'место тихого отдыха': 1},30 улица Мичмана Павлова,56.14091999183452,47.18027997165001
улица Мичмана Павлова,30,2021-06-09 11:01:55.849,За реконструкцию Школьного бульвара,['бульвар'],{'место тихого отдыха': 1},30 улица Мичмана Павлова,56.14091999183452,47.18027997165001
улица Мичмана Павлова,30,2021-06-09 10:35:58.117,Полностью поддерживаем реконструкцию школьного бульвара,['бульвар'],{'место тихого отдыха': 1},30 улица Мичмана Павлова,56.14091999183452,47.18027997165001
улица Мичмана Павлова,30,2021-06-09 11:16:34.274,Срочно ремонтируйте школьный бульвар. Очень много мусора,['бульвар'],{'место тихого отдыха': 1},30 улица Мичмана Павлова,56.14091999183452,47.18027997165001
улица Строителей,12,2021-06-09 21:09:50.314,"ремонт дворовых территорий 
закрытие ярморки 
открытые кобинеты для участкового педиатора ( мы вунуждены ездить  на энгерский бульвара",['бульвар'],{'место тихого отдыха': 1},12 улица Строителей,56.11354000219774,47.23758000286185
улица Эльгера,6,2021-06-08 19:58:47.343,Хотим реконструкцию школьного бульвара,['бульвар'],{'место тихого отдыха': 1},6 улица Эльгера,56.14170998620881,47.17898002228651
улица Мичмана Павлова,28,2021-06-09 09:51:38.564,За реконструкцию школьного бульвара,['бульвар'],{'место тихого отдыха': 1},28 улица Мичмана Павлова,56.14147998678567,47.18157003036774
улица Мичмана Павлова,28,2021-06-13 15:05:02.857,За реконструкцию школьного бульвара ,['бульвар'],{'место тихого отдыха': 1},28 улица Мичмана Павлова,56.14147998678567,47.18157003036774
